# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Fe2O3(012)-(2x1).tlm
#
# Structure: Fe2O3(012)-(2x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 10.0700 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [10.0700  0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[2 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -7/2| -5  ),-3.50000,-5.00000, -4.36766, -5.78925,  122,        1,
(  7/2| -5  ), 3.50000,-5.00000,  4.36766, -5.78925,  122,        1,
( -7/2|  5  ),-3.50000, 5.00000, -4.36766,  5.78925,  123,        1,
(  7/2|  5  ), 3.50000, 5.00000,  4.36766,  5.78925,  123,        1,
( -9/2| -4  ),-4.50000,-4.00000, -5.61556, -4.63140,  124,        1,
(  9/2| -4  ), 4.50000,-4.00000,  5.61556, -4.63140,  124,        1,
( -9/2|  4  ),-4.50000, 4.00000, -5.61556,  4.63140,  125,        1,
(  9/2|  4  ), 4.50000, 4.00000,  5.61556,  4.63140,  125,        1,
( -2  | -6  ),-2.00000,-6.00000, -2.49580, -6.94710,  126,        1,
(  2  | -6  ), 2.00000,-6.00000,  2.49580, -6.94710,  126,        1,
( -2  |  6  ),-2.00000, 6.00000, -2.49580,  6.94710,  127,        1,
(  2  |  6  ), 2.00000, 6.00000,  2.49580,  6.94710,  127,        1,
( -6  |  0  ),-6.00000, 0.00000, -7.48741,  0.00000,  128,        1,
(  6  |  0  ), 6.00000, 0.00000,  7.48741,  0.00000,  128,        1,
( -6  | -1  ),-6.00000,-1.00000, -7.48741, -1.15785,  129,        1,
(  6  | -1  ), 6.00000,-1.00000,  7.48741, -1.15785,  129,        1,
( -6  |  1  ),-6.00000, 1.00000, -7.48741,  1.15785,  130,        1,
(  6  |  1  ), 6.00000, 1.00000,  7.48741,  1.15785,  130,        1,
