# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ir(100)-(2x1)O.tlm
#
# Structure: Ir(001)-(2x1)O
#
# Max. LEED Energy: 694.0 eV
# Bulk lattice: Square (p4m); a = 2.7116 AA
#        Basis: a = [2.7116 0.0000]; b = [0.0000 2.7116]
# Surface lattice: Rectangular (pmm); a = 5.4232 AA; b = 2.7116 AA
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.4232 0.0000]; b = [0.0000 2.7116]
#            Superlattice: [[2 0] [0 1]]
# Domain 2 - Basis: a = [ 0.0000 -5.4232]; b = [-2.7116  0.0000]
#            Superlattice: [[ 0 -2] [-1  0]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h |  k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( 0  |-7/2), 0.00000,-3.50000,  0.00000, -8.11003,   19,        2,
( 0  | 7/2), 0.00000, 3.50000,  0.00000,  8.11003,   19,        2,
( 7/2| 0  ), 3.50000, 0.00000,  8.11003,  0.00000,   19,        1,
(-2  |-3  ),-2.00000,-3.00000, -4.63430, -6.95145,   20,      1+2,
(-2  | 3  ),-2.00000, 3.00000, -4.63430,  6.95145,   20,      1+2,
(-3  |-2  ),-3.00000,-2.00000, -6.95145, -4.63430,   20,      1+2,
(-3  | 2  ),-3.00000, 2.00000, -6.95145,  4.63430,   20,      1+2,
( 2  |-3  ), 2.00000,-3.00000,  4.63430, -6.95145,   20,      1+2,
( 2  | 3  ), 2.00000, 3.00000,  4.63430,  6.95145,   20,      1+2,
( 3  |-2  ), 3.00000,-2.00000,  6.95145, -4.63430,   20,      1+2,
( 3  | 2  ), 3.00000, 2.00000,  6.95145,  4.63430,   20,      1+2,
(-1  |-7/2),-1.00000,-3.50000, -2.31715, -8.11003,   21,        2,
(-1  | 7/2),-1.00000, 3.50000, -2.31715,  8.11003,   21,        2,
(-7/2|-1  ),-3.50000,-1.00000, -8.11003, -2.31715,   21,        1,
(-7/2| 1  ),-3.50000, 1.00000, -8.11003,  2.31715,   21,        1,
( 1  |-7/2), 1.00000,-3.50000,  2.31715, -8.11003,   21,        2,
( 1  | 7/2), 1.00000, 3.50000,  2.31715,  8.11003,   21,        2,
( 7/2|-1  ), 3.50000,-1.00000,  8.11003, -2.31715,   21,        1,
( 7/2| 1  ), 3.50000, 1.00000,  8.11003,  2.31715,   21,        1,
(-3  |-5/2),-3.00000,-2.50000, -6.95145, -5.79288,   22,        2,
(-3  | 5/2),-3.00000, 2.50000, -6.95145,  5.79288,   22,        2,
(-5/2|-3  ),-2.50000,-3.00000, -5.79288, -6.95145,   22,        1,
(-5/2| 3  ),-2.50000, 3.00000, -5.79288,  6.95145,   22,        1,
( 3  |-5/2), 3.00000,-2.50000,  6.95145, -5.79288,   22,        2,
( 3  | 5/2), 3.00000, 2.50000,  6.95145,  5.79288,   22,        2,
( 5/2|-3  ), 2.50000,-3.00000,  5.79288, -6.95145,   22,        1,
( 5/2| 3  ), 2.50000, 3.00000,  5.79288,  6.95145,   22,        1,
(-4  | 0  ),-4.00000, 0.00000, -9.26860,  0.00000,   23,      1+2,
( 0  |-4  ), 0.00000,-4.00000,  0.00000, -9.26860,   23,      1+2,
( 0  | 4  ), 0.00000, 4.00000,  0.00000,  9.26860,   23,      1+2,
( 4  | 0  ), 4.00000, 0.00000,  9.26860,  0.00000,   23,      1+2,
(-2  |-7/2),-2.00000,-3.50000, -4.63430, -8.11003,   24,        2,
(-2  | 7/2),-2.00000, 3.50000, -4.63430,  8.11003,   24,        2,
(-7/2|-2  ),-3.50000,-2.00000, -8.11003, -4.63430,   24,        1,
(-7/2| 2  ),-3.50000, 2.00000, -8.11003,  4.63430,   24,        1,
( 2  |-7/2), 2.00000,-3.50000,  4.63430, -8.11003,   24,        2,
